year,country,Real GDP/capita,loggedRGDP,laggedLRGDP,oil production,oil revenue,"TR, % of GDP",total tax revenue,H1,world oil price,total investment ratio,GDP,Total Investment,H2 ,oil rents,oil profit,oil tax revenue,NR tax revenue,H3,PolityIV,population,ResourceCursed
1999,Algeria ,3457.137046,3.538716596,NA,1389,13124838826,29.948,14566879271,0.9,25.89,28.717,48640574567,1693790249,0.9,7.548896126,3671826449,9453012377,5113866895,1.848505753,-3,30765613,1
2000,Algeria ,3541.072037,3.549134762,3.538716596,1433.025287,20773658470,38.272,20969322796,0.99,39.72,25.014,54790245601,2190383209,1.59,12.89652779,7066039252,13707619218,7261703579,1.89,-3,31183660,1
2001,Algeria ,3600.437254,3.556355247,3.549134762,1513.892645,18304742800,34.991,19155723014,0.96,33.13,26.754,54744714396,2046225402,1.24,11.20562605,6134487975,12170254824,6985468190,1.742224643,-3,31592153,1
2002,Algeria ,3754.516275,3.574553991,3.556355247,1617.653051,19711279051,35.449,20120954838,0.98,33.38,30.804,56760288974,1842627223,1.08,11.78842653,6691144964,13020134087,7100820752,1.833609739,-3,31995046,1
2003,Algeria ,3974.175032,3.599246991,3.574553991,1784.043024,24488349068,37.078,25162550843,0.97,37.61,30.337,67863829880,2236998711,1.24,14.20068109,9637126054,14851223014,10311327829,1.44,-3,32403514,1
2004,Algeria ,4091.144235,3.611844791,3.599246991,1844.525034,32731890265,36.024,30737477573,1.06,48.62,33.305,85324998814,2561927603,1.46,16.24454436,13860657282,18871232983,11866244589,1.590329008,2,32831096,1
2005,Algeria ,4273.312751,3.630764679,3.611844791,1956.778085,47854262907,40.739,42041926292,1.14,67,31.334,1.03E+11,3293490408,2.14,21.35086755,22033717071,25820545836,16221380456,1.591760079,2,33288437,1
2006,Algeria ,4282.328231,3.631679952,3.630764679,1967.493451,55694765412,42.814,50104070254,1.11,77.55,29.837,1.17E+11,3922220892,2.6,22.98126193,26894351428,28800413984,21303656270,1.35,2,33777915,1
2007,Algeria ,4359.375748,3.639424304,3.631679952,1967.545052,60176541282,39.834,53766773128,1.12,83.79,34.294,1.35E+11,3935880554,2.44,21.67217864,29252475574,30924065708,22842707420,1.353782857,2,34300076,1
2008,Algeria ,4390.499633,3.642513945,3.639424304,1954.4593,77340968269,47.566,81338189099,0.95,108.42,37.349,1.71E+11,4578454360,2.9,23.20675508,39683711747,37657256522,43680932576,0.862098273,2,34860715,1
2009,Algeria ,4386.038896,3.642072479,3.642513945,1909.814869,48093755943,36.792,50482685799,0.95,68.99,46.959,1.37E+11,2921932748,1.47,15.27411995,20957778816,27135977127,23346708673,1.16,2,35465760,1
2010,Algeria ,4463.394675,3.649665291,3.642072479,1881.051,60074758148,37.212,59988448812,1,87.5,42.328,1.61E+11,3808525531,2.07,17.65349925,28458723961,31616034187,28372414625,1.114323,2,36117637,1
2011,Algeria ,4504.920098,3.653687092,3.649665291,1862.69,80707606571,40.019,80045626544,1.01,118.71,38.572,2.00E+11,5185602440,3.08,20.35409525,40712069447,39995537124,40050089420,0.998637898,2,36819558,1
2012,Algeria ,4564.435017,3.659387028,3.653687092,1875.227169,79899761649,39.109,81760881163,0.98,116.73,41.301,2.09E+11,5061838502,2.83,18.77064063,39241712085,40658049565,41102831598,0.99,2,37565847,1
2013,Algeria ,4596.219627,3.662400773,3.659387028,1762.764822,72027635750,35.786,75062925463,0.96,111.95,44.978,2.10E+11,4663502229,2.49,17.36023569,36413962945,35613672805,39449252658,0.902771799,2,38338562,1
2014,Algeria ,4675.885024,3.669863824,3.662400773,1720.984,63012625742,33.305,71209427981,0.88,100.31,47.511,2.14E+11,4500221474,2.11,15.70887184,33587142400,29425483342,41783944640,0.704229426,2,39113313,1
2015,Algeria ,4759.595242,3.677570022,3.669863824,1797.984,34813254803,30.563,50696171746,0.69,53.05,50.899,1.66E+11,3258891744,1.04,9.129884212,15144134346,19669120457,31027051288,0.63,2,39871528,1
2016,Algeria ,4827.724251,3.683742456,3.677570022,1698.344656,27110628250,28.967,46071751854,0.59,43.73,53.759,1.59E+11,2958557576,0.81,12.41937802,19752908568,7357719683,38714032172,0.190053045,2,40606052,1
1999,Angola,2101.945334,3.322621417,3.683742456,745,7039600378,50.304,3095166357,2.27,25.89,28.796,6152922943,213672834.5,0.9,47.41042296,2917126792,4122473586,-1027307229,-4.012892609,-3,15949766,1
2000,Angola,2100.572383,3.322337651,3.322621417,746.1131126,10815928457,52.42,4785733604,2.26,39.72,15.053,9129594819,606496699.6,2.64,60.45173822,5518998760,5296929697,-511196092.7,-10.36,-3,16440924,1
2001,Angola,2119.325932,3.326197752,3.322337651,741.9041209,8970493489,45.822,4094683119,2.19,33.13,13.628,8936063723,655713510.7,2.43,44.09783712,3940610825,5029882664,-935199544.6,-5.37840581,-3,16983266,1
2002,Angola,1906.08658,3.280142624,3.326197752,896.1430065,10919600380,35.079,4383944238,2.49,33.38,11.821,12497346670,1057215690,2.82,37.09530272,4635928580,6283671800,-1899727562,-3.307669966,-2,17572649,1
2003,Angola,1936.599661,3.287039851,3.280142624,902.3047217,12385325182,37.304,5293045606,2.34,37.61,12.843,14188949191,1104800217,2.93,35.14547586,4986773713,7398551469,-2105505863,-3.51,-2,18203369,1
